-- -----------------------------
-- Sample Users
-- -----------------------------
INSERT INTO users (username, email, password_hash, role)
VALUES
('admin1', 'admin@wastebin.com', '$2b$10$dummyhash', 'admin'),
('collector1', 'collector1@wastebin.com', '$2b$10$dummyhash', 'collector'),
('collector2', 'collector2@wastebin.com', '$2b$10$dummyhash', 'collector'),
('manager1', 'manager@wastebin.com', '$2b$10$dummyhash', 'manager');
INSERT INTO households (name, ward, waste_generated_per_day, location, contact_info, household_type) VALUES
('Household_1', 'Anna Nagar', 1.5, ST_SetSRID(ST_MakePoint(80.2081, 13.0829), 4326), 'hh1@email.com', 'residential'),
('Household_192', 'Kilpauk', 1.4, ST_SetSRID(ST_MakePoint(80.2455, 13.0685), 4326), 'hh192@email.com', 'residential'),
('Household_193', 'Kilpauk', 2.3, ST_SetSRID(ST_MakePoint(80.2470, 13.0700), 4326), 'hh193@email.com', 'residential'),
('Household_194', 'Kilpauk', 1.0, ST_SetSRID(ST_MakePoint(80.2450, 13.0680), 4326), 'hh194@email.com', 'residential'),
('Household_195', 'Alwarpet', 1.5, ST_SetSRID(ST_MakePoint(80.2825, 13.0395), 4326), 'hh195@email.com', 'residential'),
('Household_196', 'Alwarpet', 1.9, ST_SetSRID(ST_MakePoint(80.2815, 13.0385), 4326), 'hh196@email.com', 'residential'),
('Household_197', 'Alwarpet', 1.2, ST_SetSRID(ST_MakePoint(80.2830, 13.0400), 4326), 'hh197@email.com', 'residential'),
('Household_198', 'Alwarpet', 2.4, ST_SetSRID(ST_MakePoint(80.2810, 13.0380), 4326), 'hh198@email.com', 'residential'),
('Household_199', 'Aminjikarai', 1.6, ST_SetSRID(ST_MakePoint(80.2338, 13.0560), 4326), 'hh199@email.com', 'residential'),
('Household_200', 'Aminjikarai', 1.3, ST_SetSRID(ST_MakePoint(80.2328, 13.0550), 4326), 'hh200@email.com', 'residential'),
('Household_201', 'Aminjikarai', 2.0, ST_SetSRID(ST_MakePoint(80.2343, 13.0565), 4326), 'hh201@email.com', 'residential'),
('Household_202', 'Aminjikarai', 0.9, ST_SetSRID(ST_MakePoint(80.2323, 13.0545), 4326), 'hh202@email.com', 'residential'),
('Household_203', 'Manali', 1.7, ST_SetSRID(ST_MakePoint(80.2215, 13.1025), 4326), 'hh203@email.com', 'residential'),
('Household_204', 'Manali', 1.4, ST_SetSRID(ST_MakePoint(80.2205, 13.1015), 4326), 'hh204@email.com', 'residential'),
('Household_205', 'Manali', 2.2, ST_SetSRID(ST_MakePoint(80.2220, 13.1030), 4326), 'hh205@email.com', 'residential'),
('Household_206', 'Manali', 1.1, ST_SetSRID(ST_MakePoint(80.2200, 13.1010), 4326), 'hh206@email.com', 'residential'),
('Household_207', 'CMBT Area', 1.8, ST_SetSRID(ST_MakePoint(80.1855, 13.0725), 4326), 'hh207@email.com', 'residential'),
('Household_208', 'CMBT Area', 1.5, ST_SetSRID(ST_MakePoint(80.1845, 13.0715), 4326), 'hh208@email.com', 'residential'),
('Household_209', 'CMBT Area', 2.3, ST_SetSRID(ST_MakePoint(80.1860, 13.0730), 4326), 'hh209@email.com', 'residential'),
('Household_210', 'CMBT Area', 0.7, ST_SetSRID(ST_MakePoint(80.1840, 13.0710), 4326), 'hh210@email.com', 'residential'),
('Household_211', 'Porur', 1.4, ST_SetSRID(ST_MakePoint(80.1705, 12.9805), 4326), 'hh211@email.com', 'residential'),
('Household_212', 'Porur', 2.1, ST_SetSRID(ST_MakePoint(80.1695, 12.9795), 4326), 'hh212@email.com', 'residential'),
('Household_213', 'Porur', 1.0, ST_SetSRID(ST_MakePoint(80.1710, 12.9810), 4326), 'hh213@email.com', 'residential'),
('Household_214', 'Porur', 1.6, ST_SetSRID(ST_MakePoint(80.1690, 12.9790), 4326), 'hh214@email.com', 'residential'),
('Household_215', 'Meenambakkam', 2.2, ST_SetSRID(ST_MakePoint(80.2105, 12.9605), 4326), 'hh215@email.com', 'residential'),
('Household_216', 'Meenambakkam', 1.3, ST_SetSRID(ST_MakePoint(80.2095, 12.9595), 4326), 'hh216@email.com', 'residential'),
('Household_217', 'Meenambakkam', 1.9, ST_SetSRID(ST_MakePoint(80.2110, 12.9610), 4326), 'hh217@email.com', 'residential'),
('Household_218', 'Meenambakkam', 0.5, ST_SetSRID(ST_MakePoint(80.2090, 12.9590), 4326), 'hh218@email.com', 'residential'),
('Household_219', 'Otteri', 1.5, ST_SetSRID(ST_MakePoint(80.2415, 13.0745), 4326), 'hh219@email.com', 'residential'),
('Household_220', 'Otteri', 2.0, ST_SetSRID(ST_MakePoint(80.2405, 13.0735), 4326), 'hh220@email.com', 'residential'),
('Household_221', 'Otteri', 1.2, ST_SetSRID(ST_MakePoint(80.2420, 13.0750), 4326), 'hh221@email.com', 'residential'),
('Household_222', 'Otteri', 1.8, ST_SetSRID(ST_MakePoint(80.2400, 13.0730), 4326), 'hh222@email.com', 'residential'),
('Household_223', 'Washermanpet', 2.4, ST_SetSRID(ST_MakePoint(80.2605, 13.0805), 4326), 'hh223@email.com', 'residential'),
('Household_224', 'Washermanpet', 1.1, ST_SetSRID(ST_MakePoint(80.2595, 13.0795), 4326), 'hh224@email.com', 'residential'),
('Household_225', 'Washermanpet', 1.6, ST_SetSRID(ST_MakePoint(80.2610, 13.0810), 4326), 'hh225@email.com', 'residential'),
('Household_226', 'Washermanpet', 2.3, ST_SetSRID(ST_MakePoint(80.2590, 13.0790), 4326), 'hh226@email.com', 'residential'),
('Household_227', 'Madipakkam', 1.4, ST_SetSRID(ST_MakePoint(80.2505, 12.9705), 4326), 'hh227@email.com', 'residential'),
('Household_228', 'Madipakkam', 1.7, ST_SetSRID(ST_MakePoint(80.2495, 12.9695), 4326), 'hh228@email.com', 'residential'),
('Household_229', 'Madipakkam', 0.9, ST_SetSRID(ST_MakePoint(80.2510, 12.9710), 4326), 'hh229@email.com', 'residential'),
('Household_230', 'Madipakkam', 2.1, ST_SetSRID(ST_MakePoint(80.2490, 12.9690), 4326), 'hh230@email.com', 'residential'),
('Household_231', 'Mugalivakkam', 1.3, ST_SetSRID(ST_MakePoint(80.2005, 12.9905), 4326), 'hh231@email.com', 'residential'),
('Household_232', 'Mugalivakkam', 2.2, ST_SetSRID(ST_MakePoint(80.1995, 12.9895), 4326), 'hh232@email.com', 'residential'),
('Household_233', 'Mugalivakkam', 1.5, ST_SetSRID(ST_MakePoint(80.2010, 12.9910), 4326), 'hh233@email.com', 'residential'),
('Household_234', 'Mugalivakkam', 0.6, ST_SetSRID(ST_MakePoint(80.1990, 12.9890), 4326), 'hh234@email.com', 'residential'),
('Household_235', 'Chitlapakkam', 1.8, ST_SetSRID(ST_MakePoint(80.2305, 12.9305), 4326), 'hh235@email.com', 'residential'),
('Household_236', 'Chitlapakkam', 1.0, ST_SetSRID(ST_MakePoint(80.2295, 12.9295), 4326), 'hh236@email.com', 'residential'),
('Household_237', 'Chitlapakkam', 2.3, ST_SetSRID(ST_MakePoint(80.2310, 12.9310), 4326), 'hh237@email.com', 'residential'),
('Household_238', 'Chitlapakkam', 1.6, ST_SetSRID(ST_MakePoint(80.2290, 12.9290), 4326), 'hh238@email.com', 'residential'),
('Household_239', 'Taramani', 1.1, ST_SetSRID(ST_MakePoint(80.2705, 13.0005), 4326), 'hh239@email.com', 'residential'),
('Household_240', 'Taramani', 1.9, ST_SetSRID(ST_MakePoint(80.2695, 12.9995), 4326), 'hh240@email.com', 'residential'),
('Household_241', 'Taramani', 1.4, ST_SetSRID(ST_MakePoint(80.2710, 13.0010), 4326), 'hh241@email.com', 'residential'),
('Household_242', 'Taramani', 2.5, ST_SetSRID(ST_MakePoint(80.2690, 12.9990), 4326), 'hh242@email.com', 'residential'),
('Household_243', 'Kodambakkam', 1.7, ST_SetSRID(ST_MakePoint(80.2505, 13.0405), 4326), 'hh243@email.com', 'residential'),
('Household_244', 'Kodambakkam', 0.8, ST_SetSRID(ST_MakePoint(80.2495, 13.0395), 4326), 'hh244@email.com', 'residential'),
('Household_245', 'Kodambakkam', 2.2, ST_SetSRID(ST_MakePoint(80.2510, 13.0410), 4326), 'hh245@email.com', 'residential'),
('Household_246', 'Kodambakkam', 1.3, ST_SetSRID(ST_MakePoint(80.2490, 13.0390), 4326), 'hh246@email.com', 'residential'),
('Household_247', 'K.K. Nagar', 1.6, ST_SetSRID(ST_MakePoint(80.2105, 13.0205), 4326), 'hh247@email.com', 'residential'),
('Household_248', 'K.K. Nagar', 1.2, ST_SetSRID(ST_MakePoint(80.2095, 13.0195), 4326), 'hh248@email.com', 'residential'),
('Household_249', 'K.K. Nagar', 2.1, ST_SetSRID(ST_MakePoint(80.2110, 13.0210), 4326), 'hh249@email.com', 'residential'),
('Household_250', 'K.K. Nagar', 0.7, ST_SetSRID(ST_MakePoint(80.2090, 13.0190), 4326), 'hh250@email.com', 'residential'),
('Household_251', 'Nandanam', 1.8, ST_SetSRID(ST_MakePoint(80.2505, 13.0005), 4326), 'hh251@email.com', 'residential'),
('Household_252', 'Nandanam', 1.4, ST_SetSRID(ST_MakePoint(80.2495, 12.9995), 4326), 'hh252@email.com', 'residential'),
('Household_253', 'Nandanam', 2.3, ST_SetSRID(ST_MakePoint(80.2510, 13.0010), 4326), 'hh253@email.com', 'residential'),
('Household_254', 'Nandanam', 1.0, ST_SetSRID(ST_MakePoint(80.2490, 12.9990), 4326), 'hh254@email.com', 'residential'),
('Household_255', 'Teynampet', 1.5, ST_SetSRID(ST_MakePoint(80.2605, 13.0105), 4326), 'hh255@email.com', 'residential'),
('Household_256', 'Teynampet', 1.9, ST_SetSRID(ST_MakePoint(80.2595, 13.0095), 4326), 'hh256@email.com', 'residential'),
('Household_257', 'Teynampet', 1.2, ST_SetSRID(ST_MakePoint(80.2610, 13.0110), 4326), 'hh257@email.com', 'residential'),
('Household_258', 'Teynampet', 2.4, ST_SetSRID(ST_MakePoint(80.2590, 13.0090), 4326), 'hh258@email.com', 'residential'),
('Household_259', 'RA Puram', 1.6, ST_SetSRID(ST_MakePoint(80.2805, 13.0305), 4326), 'hh259@email.com', 'residential'),
('Household_260', 'RA Puram', 1.3, ST_SetSRID(ST_MakePoint(80.2795, 13.0295), 4326), 'hh260@email.com', 'residential'),
('Household_261', 'RA Puram', 2.0, ST_SetSRID(ST_MakePoint(80.2810, 13.0310), 4326), 'hh261@email.com', 'residential'),
('Household_262', 'RA Puram', 0.9, ST_SetSRID(ST_MakePoint(80.2790, 13.0290), 4326), 'hh262@email.com', 'residential'),
('Household_263', 'Kottivakkam', 1.7, ST_SetSRID(ST_MakePoint(80.2945, 12.9995), 4326), 'hh263@email.com', 'residential'),
('Household_264', 'Kottivakkam', 1.4, ST_SetSRID(ST_MakePoint(80.2935, 12.9985), 4326), 'hh264@email.com', 'residential'),
('Household_265', 'Kottivakkam', 2.2, ST_SetSRID(ST_MakePoint(80.2950, 13.0000), 4326), 'hh265@email.com', 'residential'),
('Household_266', 'Kottivakkam', 1.1, ST_SetSRID(ST_MakePoint(80.2930, 12.9980), 4326), 'hh266@email.com', 'residential'),
('Household_267', 'Injambakkam', 1.8, ST_SetSRID(ST_MakePoint(80.2995, 12.9795), 4326), 'hh267@email.com', 'residential'),
('Household_268', 'Injambakkam', 1.5, ST_SetSRID(ST_MakePoint(80.2985, 12.9785), 4326), 'hh268@email.com', 'residential'),
('Household_269', 'Injambakkam', 2.3, ST_SetSRID(ST_MakePoint(80.3000, 12.9800), 4326), 'hh269@email.com', 'residential'),
('Household_270', 'Injambakkam', 0.7, ST_SetSRID(ST_MakePoint(80.2980, 12.9780), 4326), 'hh270@email.com', 'residential'),
('Household_271', 'SIPCOT Area', 1.4, ST_SetSRID(ST_MakePoint(80.2905, 12.9605), 4326), 'hh271@email.com', 'residential'),
('Household_272', 'SIPCOT Area', 2.1, ST_SetSRID(ST_MakePoint(80.2895, 12.9595), 4326), 'hh272@email.com', 'residential'),
('Household_273', 'SIPCOT Area', 1.0, ST_SetSRID(ST_MakePoint(80.2910, 12.9610), 4326), 'hh273@email.com', 'residential'),
('Household_274', 'SIPCOT Area', 1.6, ST_SetSRID(ST_MakePoint(80.2890, 12.9590), 4326), 'hh274@email.com', 'residential'),
('Household_275', 'Karapakkam', 2.2, ST_SetSRID(ST_MakePoint(80.2805, 12.9505), 4326), 'hh275@email.com', 'residential'),
('Household_276', 'Karapakkam', 1.3, ST_SetSRID(ST_MakePoint(80.2795, 12.9495), 4326), 'hh276@email.com', 'residential'),
('Household_277', 'Karapakkam', 1.9, ST_SetSRID(ST_MakePoint(80.2810, 12.9510), 4326), 'hh277@email.com', 'residential'),
('Household_278', 'Karapakkam', 0.5, ST_SetSRID(ST_MakePoint(80.2790, 12.9490), 4326), 'hh278@email.com', 'residential'),
('Household_279', 'Perungalathur', 1.5, ST_SetSRID(ST_MakePoint(80.2605, 12.9005), 4326), 'hh279@email.com', 'residential'),
('Household_280', 'Perungalathur', 2.0, ST_SetSRID(ST_MakePoint(80.2595, 12.8995), 4326), 'hh280@email.com', 'residential'),
('Household_281', 'Perungalathur', 1.2, ST_SetSRID(ST_MakePoint(80.2610, 12.9010), 4326), 'hh281@email.com', 'residential'),
('Household_282', 'Perungalathur', 1.8, ST_SetSRID(ST_MakePoint(80.2590, 12.8990), 4326), 'hh282@email.com', 'residential'),
('Household_283', 'Tambaram Bypass', 2.4, ST_SetSRID(ST_MakePoint(80.2405, 12.9005), 4326), 'hh283@email.com', 'residential'),
('Household_284', 'Tambaram Bypass', 1.1, ST_SetSRID(ST_MakePoint(80.2395, 12.8995), 4326), 'hh284@email.com', 'residential'),
('Household_285', 'Tambaram Bypass', 1.6, ST_SetSRID(ST_MakePoint(80.2410, 12.9010), 4326), 'hh285@email.com', 'residential'),
('Household_286', 'Tambaram Bypass', 2.3, ST_SetSRID(ST_MakePoint(80.2390, 12.8990), 4326), 'hh286@email.com', 'residential'),
('Household_287', 'East Tambaram', 1.4, ST_SetSRID(ST_MakePoint(80.2205, 12.9105), 4326), 'hh287@email.com', 'residential'),
('Household_288', 'East Tambaram', 1.7, ST_SetSRID(ST_MakePoint(80.2195, 12.9095), 4326), 'hh288@email.com', 'residential'),
('Household_289', 'East Tambaram', 0.9, ST_SetSRID(ST_MakePoint(80.2210, 12.9110), 4326), 'hh289@email.com', 'residential'),
('Household_290', 'East Tambaram', 2.1, ST_SetSRID(ST_MakePoint(80.2190, 12.9090), 4326), 'hh290@email.com', 'residential'),
('Household_291', 'West Tambaram', 1.3, ST_SetSRID(ST_MakePoint(80.2105, 12.9205), 4326), 'hh291@email.com', 'residential'),
('Household_292', 'West Tambaram', 2.2, ST_SetSRID(ST_MakePoint(80.2095, 12.9195), 4326), 'hh292@email.com', 'residential'),
('Household_293', 'West Tambaram', 1.5, ST_SetSRID(ST_MakePoint(80.2110, 12.9210), 4326), 'hh293@email.com', 'residential'),
('Household_294', 'West Tambaram', 0.6, ST_SetSRID(ST_MakePoint(80.2090, 12.9190), 4326), 'hh294@email.com', 'residential'),
('Household_295', 'Anakaputhur', 1.8, ST_SetSRID(ST_MakePoint(80.1905, 12.9305), 4326), 'hh295@email.com', 'residential'),
('Household_296', 'Anakaputhur', 1.0, ST_SetSRID(ST_MakePoint(80.1895, 12.9295), 4326), 'hh296@email.com', 'residential'),
('Household_297', 'Anakaputhur', 2.3, ST_SetSRID(ST_MakePoint(80.1910, 12.9310), 4326), 'hh297@email.com', 'residential'),
('Household_298', 'Anakaputhur', 1.6, ST_SetSRID(ST_MakePoint(80.1890, 12.9290), 4326), 'hh298@email.com', 'residential'),
('Household_299', 'Mangadu', 1.1, ST_SetSRID(ST_MakePoint(80.1705, 12.9505), 4326), 'hh299@email.com', 'residential'),
('Household_300', 'Mangadu', 1.9, ST_SetSRID(ST_MakePoint(80.1695, 12.9495), 4326), 'hh300@email.com', 'residential');

INSERT INTO bins (capacity, last_collected, location, bin_type, fill_level, status) VALUES
(100, NULL, ST_SetSRID(ST_MakePoint(80.2078, 13.0827), 4326), 'standard', 85, 'active'),  -- Anna Nagar, Chennai
(100, NULL, ST_SetSRID(ST_MakePoint(80.2091, 13.0765), 4326), 'standard', 92, 'active'),  -- Anna Nagar East
(100, NULL, ST_SetSRID(ST_MakePoint(80.2705, 13.0655), 4326), 'standard', 78, 'active'),  -- Triplicane High Road (inland)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2470, 13.0560), 4326), 'standard', 100, 'full'),   -- Nungambakkam High Road (FULL)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2505, 13.0645), 4326), 'standard', 63, 'active'),  -- Chetpet Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2801, 13.0098), 4326), 'standard', 97, 'active'),  -- Adyar/OMR Junction (Inland)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2646, 12.9861), 4326), 'standard', 55, 'active'),  -- Guindy/Mount Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2201, 13.0238), 4326), 'standard', 89, 'active'),  -- Ashok Nagar Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2036, 13.0442), 4326), 'standard', 12, 'active'),  -- Vadapalani Bus Terminus Area
(100, NULL, ST_SetSRID(ST_MakePoint(80.2244, 13.0645), 4326), 'standard', 76, 'active'),  -- Purasawalkam High Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2790, 12.9689), 4326), 'standard', 100, 'full'),   -- ECR near Thiruvanmiyur (Inland)
(100, NULL, ST_SetSRID(ST_MakePoint(80.1983, 12.9559), 4326), 'standard', 34, 'active'),  -- Pallavaram High Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2570, 13.0041), 4326), 'standard', 88, 'active'),  -- Saidapet Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2764, 13.0768), 4326), 'standard', 95, 'active'),  -- Royapuram/North Chennai
(100, NULL, ST_SetSRID(ST_MakePoint(80.2641, 13.0847), 4326), 'standard', 81, 'active'),  -- Tondiarpet
(100, NULL, ST_SetSRID(ST_MakePoint(80.2309, 13.0336), 4326), 'standard', 77, 'active'),  -- KK Nagar
(100, NULL, ST_SetSRID(ST_MakePoint(80.2458, 12.9150), 4326), 'standard', 90, 'active'),  -- Tambaram Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2520, 12.9211), 4326), 'standard', 86, 'active'),  -- Selaiyur
(100, NULL, ST_SetSRID(ST_MakePoint(80.2711, 12.9922), 4326), 'standard', 42, 'active'),  -- Velachery Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2472, 13.0264), 4326), 'standard', 100, 'full'),   -- T Nagar Ranganathan St (FULL)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2488, 13.0163), 4326), 'standard', 79, 'active'),  -- Mambalam Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2910, 13.0510), 4326), 'standard', 94, 'active'),  -- Mylapore Bazaar (Inland)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2880, 13.0450), 4326), 'standard', 51, 'active'),  -- Santhome High Road (Inland)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2185, 13.0890), 4326), 'standard', 87, 'active'),  -- Kolathur Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2131, 12.9466), 4326), 'standard', 73, 'active'),  -- Chromepet
(100, NULL, ST_SetSRID(ST_MakePoint(80.2315, 13.0089), 4326), 'standard', 98, 'active'),  -- Jafferkhanpet
(100, NULL, ST_SetSRID(ST_MakePoint(80.2741, 13.0242), 4326), 'standard', 68, 'active'),  -- Mandaveli
(100, NULL, ST_SetSRID(ST_MakePoint(80.2930, 13.0480), 4326), 'standard', 82, 'active'),  -- Foreshore Estate (Inland)
(100, NULL, ST_SetSRID(ST_MakePoint(80.1702, 13.0645), 4326), 'standard', 70, 'active'),  -- Mogappair West
(100, NULL, ST_SetSRID(ST_MakePoint(80.1783, 13.0561), 4326), 'standard', 93, 'active'),  -- Ambattur Industrial Estate Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2144, 12.9022), 4326), 'standard', 15, 'active'),  -- Vandalur Zoo Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.1789, 13.1111), 4326), 'standard', 80, 'active'),  -- Red Hills Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2312, 13.0450), 4326), 'standard', 45, 'active'),  -- Arcot Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2377, 13.0789), 4326), 'standard', 91, 'active'),  -- Perambur Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2790, 13.0381), 4326), 'standard', 100, 'full'),   -- Mylapore near Luz Corner (FULL)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2681, 13.0519), 4326), 'standard', 74, 'active'),  -- Cathedral Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2018, 12.9344), 4326), 'standard', 83, 'active'),  -- Medavakkam High Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2555, 12.9572), 4326), 'standard', 96, 'active'),  -- IIT Madras/Taramani Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2450, 13.0385), 4326), 'standard', 88, 'active'),  -- Pondy Bazaar
(100, NULL, ST_SetSRID(ST_MakePoint(80.2705, 13.0715), 4326), 'standard', 100, 'full'),   -- Broadway area (Inland, FULL)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2855, 13.0225), 4326), 'standard', 71, 'active'),  -- Besant Nagar (Inland)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2399, 13.0899), 4326), 'standard', 90, 'active'),  -- Madhavaram Milk Colony
(100, NULL, ST_SetSRID(ST_MakePoint(80.2530, 13.0090), 4326), 'standard', 85, 'active'),  -- Ekkattuthangal
(100, NULL, ST_SetSRID(ST_MakePoint(80.2005, 13.0180), 4326), 'standard', 95, 'active'),  -- Ramapuram
(100, NULL, ST_SetSRID(ST_MakePoint(80.1980, 12.9250), 4326), 'standard', 60, 'active'),  -- Tambaram Sanatorium
(100, NULL, ST_SetSRID(ST_MakePoint(80.2855, 13.0011), 4326), 'standard', 78, 'active'),  -- OMR near Sholinganallur
(100, NULL, ST_SetSRID(ST_MakePoint(80.2401, 12.8710), 4326), 'standard', 91, 'active'),  -- GST Road Urapakkam
(100, NULL, ST_SetSRID(ST_MakePoint(80.2110, 13.0050), 4326), 'standard', 99, 'active'),  -- Manapakkam Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2522, 13.0315), 4326), 'standard', 53, 'active'),  -- West Mambalam
(100, NULL, ST_SetSRID(ST_MakePoint(80.2010, 13.0610), 4326), 'standard', 84, 'active'),  -- Anna Nagar West Extension
(100, NULL, ST_SetSRID(ST_MakePoint(80.2695, 13.0890), 4326), 'standard', 38, 'active'),  -- Kasimedu Harbour Road (Inland)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2050, 13.0300), 4326), 'standard', 86, 'active'),  -- Saligramam
(100, NULL, ST_SetSRID(ST_MakePoint(80.2580, 13.0510), 4326), 'standard', 77, 'active'),  -- Gopalapuram
(100, NULL, ST_SetSRID(ST_MakePoint(80.2910, 13.0140), 4326), 'standard', 93, 'active'),  -- Neelangarai ECR (Inland)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2460, 13.0690), 4326), 'standard', 81, 'active'),  -- Kilpauk Garden Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2820, 13.0390), 4326), 'standard', 97, 'active'),  -- TTK Road Alwarpet
(100, NULL, ST_SetSRID(ST_MakePoint(80.2333, 13.0555), 4326), 'standard', 100, 'full'),   -- Aminjikarai Road (FULL)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2210, 13.1020), 4326), 'standard', 89, 'active'),  -- Manali Express Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.1850, 13.0720), 4326), 'standard', 74, 'active'),  -- Poonamallee High Road near CMBT
(100, NULL, ST_SetSRID(ST_MakePoint(80.1700, 12.9800), 4326), 'standard', 65, 'active'),  -- Porur Bypass
(100, NULL, ST_SetSRID(ST_MakePoint(80.2100, 12.9600), 4326), 'standard', 92, 'active'),  -- Meenambakkam Airport Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2410, 13.0740), 4326), 'standard', 83, 'active'),  -- Otteri Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2600, 13.0800), 4326), 'standard', 100, 'full'),   -- Old Washermanpet Market (FULL)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2500, 12.9700), 4326), 'standard', 72, 'active'),  -- Madipakkam Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2000, 12.9900), 4326), 'standard', 80, 'active'),  -- Mugalivakkam Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2300, 12.9300), 4326), 'standard', 98, 'active'),  -- Chitlapakkam
(100, NULL, ST_SetSRID(ST_MakePoint(80.2700, 13.0000), 4326), 'standard', 49, 'active'),  -- Tidel Park OMR
(100, NULL, ST_SetSRID(ST_MakePoint(80.2500, 13.0400), 4326), 'standard', 87, 'active'),  -- Kodambakkam High Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2350, 13.0400), 4326), 'standard', 75, 'active'),  -- Jawaharlal Nehru Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2650, 13.0600), 4326), 'standard', 84, 'active'),  -- Egmore High Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2800, 13.0500), 4326), 'standard', 90, 'active'),  -- Triplicane High Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2540, 13.0890), 4326), 'standard', 100, 'full'),   -- Stanley Hospital Road (FULL)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2150, 13.0950), 4326), 'standard', 79, 'active'),  -- Villivakkam Redhills Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2050, 13.0750), 4326), 'standard', 95, 'active'),  -- Retteri Junction
(100, NULL, ST_SetSRID(ST_MakePoint(80.2300, 12.9700), 4326), 'standard', 88, 'active'),  -- Adambakkam
(100, NULL, ST_SetSRID(ST_MakePoint(80.2600, 12.9300), 4326), 'standard', 70, 'active'),  -- Agaram then
(100, NULL, ST_SetSRID(ST_MakePoint(80.2500, 12.9400), 4326), 'standard', 92, 'active'),  -- Sembakkam
(100, NULL, ST_SetSRID(ST_MakePoint(80.1900, 13.0300), 4326), 'standard', 63, 'active'),  -- Kundrathur Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2000, 13.0400), 4326), 'standard', 100, 'full'),   -- Virugambakkam Market (FULL)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2200, 13.0100), 4326), 'standard', 81, 'active'),  -- Guindy Industrial Estate
(100, NULL, ST_SetSRID(ST_MakePoint(80.2400, 13.0500), 4326), 'standard', 76, 'active'),  -- Harrington Road Chetpet
(100, NULL, ST_SetSRID(ST_MakePoint(80.2800, 12.9900), 4326), 'standard', 94, 'active'),  -- OMR near Perungudi
(100, NULL, ST_SetSRID(ST_MakePoint(80.2300, 13.0600), 4326), 'standard', 86, 'active'),  -- ICF Colony Perambur
(100, NULL, ST_SetSRID(ST_MakePoint(80.2100, 13.0700), 4326), 'standard', 55, 'active'),  -- Ambattur Main Road
(100, NULL, ST_SetSRID(ST_MakePoint(80.2880, 13.0680), 4326), 'standard', 89, 'active'),  -- Ennore Express Road (Inland)
(100, NULL, ST_SetSRID(ST_MakePoint(80.2600, 13.0900), 4326), 'standard', 90, 'active'),  -- Manali New Town
(100, NULL, ST_SetSRID(ST_MakePoint(80.2500, 13.0700), 4326), 'standard', 77, 'active'),  -- Vepery
(100, NULL, ST_SetSRID(ST_MakePoint(80.2700, 13.0400), 4326), 'standard', 93, 'active'),  -- CIT Colony Mylapore
(100, NULL, ST_SetSRID(ST_MakePoint(80.2200, 13.0300), 4326), 'standard', 82, 'active'),  -- Valasaravakkam
